Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold,profit,Profit_Margin,Month,Year,Days_Took_To_Ship
Tuvalu,Baby Food,2010-05-28,669165933.0,High,Australia and Oceania,Offline,2010-06-27,1582243.5,2533654.0,9925.0,951410.5,37.55092447508618,May,2010,30 days
Grenada,Cereal,2012-08-22,963881480.0,CriticaLow,Central America and the Caribbean,Online,2012-09-15,328376.44,576782.8,2804.0,248406.36000000004,43.067574137092855,August,2012,24 days
Russia,Office Supplies,2014-02-05,341417157.0,Low,Europe,Offline,2014-08-05,933903.84,1158502.59,1779.0,224598.75000000012,19.386987300563575,February,2014,181 days
Sao Tome and Principe,Fruits,2014-06-20,514321792.0,CriticaLow,Sub-Saharan Africa,Online,2014-05-07,56065.84,75591.66,8102.0,19525.820000000007,25.830653804930343,June,2014,-44 days
Rwanda,Office Supplies,2013-01-02,115456712.0,Low,Sub-Saharan Africa,Offline,2013-06-02,2657347.52,3296425.02,5062.0,639077.5,19.386987300563565,January,2013,151 days
Solomon Islands,Baby Food,2015-04-02,547995746.0,CriticaLow,Australia and Oceania,Online,2015-02-21,474115.08,759202.72,2974.0,285087.63999999996,37.55092447508618,April,2015,-40 days
Angola,Household,2011-04-23,135425221.0,Medium,India,Offline,2011-04-27,2104134.98,2798046.49,4187.0,693911.5100000002,24.799856345489104,April,2011,4 days
Burkina Faso,Not Available,2012-07-17,871543967.0,High,Sub-Saharan Africa,Online,2012-07-27,734896.26,1245112.92,8082.0,510216.6599999999,40.97754121770738,July,2012,10 days
Republic of the Congo,Personal Care,2015-07-14,770463311.0,Medium,Sub-Saharan Africa,Offline,2015-08-25,343986.9,496101.1,6070.0,152114.19999999995,30.661935641747206,July,2015,42 days
Senegal,Cereal,2014-04-18,616607081.0,High,India,Online,2014-05-30,772106.23,1356180.1,6593.0,584073.8700000001,43.067574137092855,April,2014,42 days
